# name	type	description
@react-bits/FlyingPosters-JS-CSS	component	3D posters rotate on scroll infinitely.
@react-bits/FlyingPosters-JS-TW	component	3D posters rotate on scroll infinitely.
@react-bits/FlyingPosters-TS-CSS	component	3D posters rotate on scroll infinitely.
@react-bits/FlyingPosters-TS-TW	component	3D posters rotate on scroll infinitely.
@react-bits/Folder-JS-CSS	component	Interactive folder opens to reveal nested content smooth motion.
@react-bits/Folder-JS-TW	component	Interactive folder opens to reveal nested content smooth motion.
@react-bits/Folder-TS-CSS	component	Interactive folder opens to reveal nested content smooth motion.
@react-bits/Folder-TS-TW	component	Interactive folder opens to reveal nested content smooth motion.
@react-bits/FoldText-JS-CSS	component	Lines unfold into place like creased paper opening flat.
@react-bits/FoldText-JS-TW	component	Lines unfold into place like creased paper opening flat.
@react-bits/FoldText-TS-CSS	component	Lines unfold into place like creased paper opening flat.
@react-bits/FoldText-TS-TW	component	Lines unfold into place like creased paper opening flat.
@react-bits/FuzzyText-JS-CSS	component	Vibrating fuzzy text with controllable hover intensity.
@react-bits/FuzzyText-JS-TW	component	Vibrating fuzzy text with controllable hover intensity.
@react-bits/FuzzyText-TS-CSS	component	Vibrating fuzzy text with controllable hover intensity.
@react-bits/FuzzyText-TS-TW	component	Vibrating fuzzy text with controllable hover intensity.
@react-bits/Galaxy-JS-CSS	component	Parallax realistic starfield with pointer interactions.
@react-bits/Galaxy-JS-TW	component	Parallax realistic starfield with pointer interactions.
@react-bits/Galaxy-TS-CSS	component	Parallax realistic starfield with pointer interactions.
@react-bits/Galaxy-TS-TW	component	Parallax realistic starfield with pointer interactions.
@react-bits/GhostCursor-JS-CSS	component	Semi-transparent ghost cursor that smoothly follows the real cursor with a trailing effect.
@react-bits/GhostCursor-JS-TW	component	Semi-transparent ghost cursor that smoothly follows the real cursor with a trailing effect.
@react-bits/GhostCursor-TS-CSS	component	Semi-transparent ghost cursor that smoothly follows the real cursor with a trailing effect.
@react-bits/GhostCursor-TS-TW	component	Semi-transparent ghost cursor that smoothly follows the real cursor with a trailing effect.
@react-bits/GlareHover-JS-CSS	component	Adds a realistic moving glare highlight on hover over any element.
@react-bits/GlareHover-JS-TW	component	Adds a realistic moving glare highlight on hover over any element.
@react-bits/GlareHover-TS-CSS	component	Adds a realistic moving glare highlight on hover over any element.
@react-bits/GlareHover-TS-TW	component	Adds a realistic moving glare highlight on hover over any element.
@react-bits/GlassIcons-JS-CSS	component	Icon set styled with frosted glass blur.
@react-bits/GlassIcons-JS-TW	component	Icon set styled with frosted glass blur.
@react-bits/GlassIcons-TS-CSS	component	Icon set styled with frosted glass blur.
@react-bits/GlassIcons-TS-TW	component	Icon set styled with frosted glass blur.
@react-bits/GlassSurface-JS-CSS	component	Advanced Apple-style glass surface with real-time distortion + lighting.
@react-bits/GlassSurface-JS-TW	component	Advanced Apple-style glass surface with real-time distortion + lighting.
@react-bits/GlassSurface-TS-CSS	component	Advanced Apple-style glass surface with real-time distortion + lighting.
@react-bits/GlassSurface-TS-TW	component	Advanced Apple-style glass surface with real-time distortion + lighting.
@react-bits/GlitchText-JS-CSS	component	RGB split and distortion glitch effect with jitter effects.
@react-bits/GlitchText-JS-TW	component	RGB split and distortion glitch effect with jitter effects.
@react-bits/GlitchText-TS-CSS	component	RGB split and distortion glitch effect with jitter effects.
@react-bits/GlitchText-TS-TW	component	RGB split and distortion glitch effect with jitter effects.
@react-bits/GooeyNav-JS-CSS	component	Navigation indicator morphs with gooey blob transitions between items.
@react-bits/GooeyNav-JS-TW	component	Navigation indicator morphs with gooey blob transitions between items.
@react-bits/GooeyNav-TS-CSS	component	Navigation indicator morphs with gooey blob transitions between items.
@react-bits/GooeyNav-TS-TW	component	Navigation indicator morphs with gooey blob transitions between items.
@react-bits/GradientBlinds-JS-CSS	component	Layered gradient blinds with spotlight and noise distortion.
@react-bits/GradientBlinds-JS-TW	component	Layered gradient blinds with spotlight and noise distortion.
@react-bits/GradientBlinds-TS-CSS	component	Layered gradient blinds with spotlight and noise distortion.
@react-bits/GradientBlinds-TS-TW	component	Layered gradient blinds with spotlight and noise distortion.
@react-bits/GradientText-JS-CSS	component	Animated gradient sweep across live text with speed and color control.
@react-bits/GradientText-JS-TW	component	Animated gradient sweep across live text with speed and color control.
@react-bits/GradientText-TS-CSS	component	Animated gradient sweep across live text with speed and color control.
@react-bits/GradientText-TS-TW	component	Animated gradient sweep across live text with speed and color control.
@react-bits/GradientWaves-JS-CSS	component	Raymarched sine waves rolling toward a soft, hazy horizon.
@react-bits/GradientWaves-JS-TW	component	Raymarched sine waves rolling toward a soft, hazy horizon.
@react-bits/GradientWaves-TS-CSS	component	Raymarched sine waves rolling toward a soft, hazy horizon.
@react-bits/GradientWaves-TS-TW	component	Raymarched sine waves rolling toward a soft, hazy horizon.
@react-bits/GradualBlur-JS-CSS	component	Progressively un-blurs content based on scroll or trigger creating a cinematic reveal.
@react-bits/GradualBlur-JS-TW	component	Progressively un-blurs content based on scroll or trigger creating a cinematic reveal.
@react-bits/GradualBlur-TS-CSS	component	Progressively un-blurs content based on scroll or trigger creating a cinematic reveal.
@react-bits/GradualBlur-TS-TW	component	Progressively un-blurs content based on scroll or trigger creating a cinematic reveal.
@react-bits/Grainient-JS-CSS	component	Grainy gradient swirls with soft wave distortion.
@react-bits/Grainient-JS-TW	component	Grainy gradient swirls with soft wave distortion.
@react-bits/Grainient-TS-CSS	component	Grainy gradient swirls with soft wave distortion.
@react-bits/Grainient-TS-TW	component	Grainy gradient swirls with soft wave distortion.
@react-bits/GridDistortion-JS-CSS	component	Warped grid mesh distorts smoothly reacting to cursor.
@react-bits/GridDistortion-JS-TW	component	Warped grid mesh distorts smoothly reacting to cursor.
@react-bits/GridDistortion-TS-CSS	component	Warped grid mesh distorts smoothly reacting to cursor.
@react-bits/GridDistortion-TS-TW	component	Warped grid mesh distorts smoothly reacting to cursor.
@react-bits/GridMotion-JS-CSS	component	Perspective moving grid lines based on cusror position.
@react-bits/GridMotion-JS-TW	component	Perspective moving grid lines based on cusror position.
@react-bits/GridMotion-TS-CSS	component	Perspective moving grid lines based on cusror position.
@react-bits/GridMotion-TS-TW	component	Perspective moving grid lines based on cusror position.
@react-bits/GridScan-JS-CSS	component	Animated grid room 3D scan effect and cool interactions.
@react-bits/GridScan-JS-TW	component	Animated grid room 3D scan effect and cool interactions.
@react-bits/GridScan-TS-CSS	component	Animated grid room 3D scan effect and cool interactions.
@react-bits/GridScan-TS-TW	component	Animated grid room 3D scan effect and cool interactions.
@react-bits/HalftoneReveal-JS-CSS	component	Print-style halftone dot matrix that resolves into sharp content around the cursor.
@react-bits/HalftoneReveal-JS-TW	component	Print-style halftone dot matrix that resolves into sharp content around the cursor.
@react-bits/HalftoneReveal-TS-CSS	component	Print-style halftone dot matrix that resolves into sharp content around the cursor.
@react-bits/HalftoneReveal-TS-TW	component	Print-style halftone dot matrix that resolves into sharp content around the cursor.
@react-bits/Hyperspeed-JS-CSS	component	Animated lines continuously moving to simulate hyperspace travel on click hold.
@react-bits/Hyperspeed-JS-TW	component	Animated lines continuously moving to simulate hyperspace travel on click hold.
@react-bits/Hyperspeed-TS-CSS	component	Animated lines continuously moving to simulate hyperspace travel on click hold.
@react-bits/Hyperspeed-TS-TW	component	Animated lines continuously moving to simulate hyperspace travel on click hold.
@react-bits/ImageTrail-JS-CSS	component	Cursor-based image trail with several built-in variants.
@react-bits/ImageTrail-JS-TW	component	Cursor-based image trail with several built-in variants.
@react-bits/ImageTrail-TS-CSS	component	Cursor-based image trail with several built-in variants.
@react-bits/ImageTrail-TS-TW	component	Cursor-based image trail with several built-in variants.
@react-bits/InfiniteMenu-JS-CSS	component	Horizontally looping menu effect that scrolls endlessly with seamless wrap.
@react-bits/InfiniteMenu-JS-TW	component	Horizontally looping menu effect that scrolls endlessly with seamless wrap.
@react-bits/InfiniteMenu-TS-CSS	component	Horizontally looping menu effect that scrolls endlessly with seamless wrap.
@react-bits/InfiniteMenu-TS-TW	component	Horizontally looping menu effect that scrolls endlessly with seamless wrap.
@react-bits/Iridescence-JS-CSS	component	Slick iridescent shader with shifting waves.
@react-bits/Iridescence-JS-TW	component	Slick iridescent shader with shifting waves.
@react-bits/Iridescence-TS-CSS	component	Slick iridescent shader with shifting waves.
@react-bits/Iridescence-TS-TW	component	Slick iridescent shader with shifting waves.
@react-bits/Lanyard-JS-CSS	component	Swinging 3D lanyard / badge card with realistic inertial motion.
@react-bits/Lanyard-JS-TW	component	Swinging 3D lanyard / badge card with realistic inertial motion.
@react-bits/Lanyard-TS-CSS	component	Swinging 3D lanyard / badge card with realistic inertial motion.
@react-bits/Lanyard-TS-TW	component	Swinging 3D lanyard / badge card with realistic inertial motion.
@react-bits/LaserFlow-JS-CSS	component	Dynamic laser light that flows onto a surface, customizable effect.
@react-bits/LaserFlow-JS-TW	component	Dynamic laser light that flows onto a surface, customizable effect.
@react-bits/LaserFlow-TS-CSS	component	Dynamic laser light that flows onto a surface, customizable effect.
@react-bits/LaserFlow-TS-TW	component	Dynamic laser light that flows onto a surface, customizable effect.
@react-bits/LetterGlitch-JS-CSS	component	Matrix style letter animation.
@react-bits/LetterGlitch-JS-TW	component	Matrix style letter animation.
@react-bits/LetterGlitch-TS-CSS	component	Matrix style letter animation.
@react-bits/LetterGlitch-TS-TW	component	Matrix style letter animation.
@react-bits/Lightfall-JS-CSS	component	Colorful light streaks raining down a glowing tunnel with a cursor light.
@react-bits/Lightfall-JS-TW	component	Colorful light streaks raining down a glowing tunnel with a cursor light.
@react-bits/Lightfall-TS-CSS	component	Colorful light streaks raining down a glowing tunnel with a cursor light.
@react-bits/Lightfall-TS-TW	component	Colorful light streaks raining down a glowing tunnel with a cursor light.
@react-bits/Lightning-JS-CSS	component	Procedural lightning bolts with branching and glow flicker.
@react-bits/Lightning-JS-TW	component	Procedural lightning bolts with branching and glow flicker.
@react-bits/Lightning-TS-CSS	component	Procedural lightning bolts with branching and glow flicker.
@react-bits/Lightning-TS-TW	component	Procedural lightning bolts with branching and glow flicker.
@react-bits/LightPillar-JS-CSS	component	Vertical pillar of light with glow effects.
@react-bits/LightPillar-JS-TW	component	Vertical pillar of light with glow effects.
@react-bits/LightPillar-TS-CSS	component	Vertical pillar of light with glow effects.
@react-bits/LightPillar-TS-TW	component	Vertical pillar of light with glow effects.
@react-bits/LightRays-JS-CSS	component	Volumetric light rays/beams with customizable direction.
@react-bits/LightRays-JS-TW	component	Volumetric light rays/beams with customizable direction.
@react-bits/LightRays-TS-CSS	component	Volumetric light rays/beams with customizable direction.
@react-bits/LightRays-TS-TW	component	Volumetric light rays/beams with customizable direction.
@react-bits/LightTunnel-JS-CSS	component	A radial fibre-optic tunnel with light pulses racing into depth.
@react-bits/LightTunnel-JS-TW	component	A radial fibre-optic tunnel with light pulses racing into depth.
@react-bits/LightTunnel-TS-CSS	component	A radial fibre-optic tunnel with light pulses racing into depth.
@react-bits/LightTunnel-TS-TW	component	A radial fibre-optic tunnel with light pulses racing into depth.
@react-bits/LineSidebar-JS-CSS	component	Static list navigation with a cursor-proximity effect that shifts and highlights nearby items.
@react-bits/LineSidebar-JS-TW	component	Static list navigation with a cursor-proximity effect that shifts and highlights nearby items.
@react-bits/LineSidebar-TS-CSS	component	Static list navigation with a cursor-proximity effect that shifts and highlights nearby items.
@react-bits/LineSidebar-TS-TW	component	Static list navigation with a cursor-proximity effect that shifts and highlights nearby items.
@react-bits/LineWaves-JS-CSS	component	Animated line wave pattern with colorful warped distortion.
@react-bits/LineWaves-JS-TW	component	Animated line wave pattern with colorful warped distortion.
@react-bits/LineWaves-TS-CSS	component	Animated line wave pattern with colorful warped distortion.
@react-bits/LineWaves-TS-TW	component	Animated line wave pattern with colorful warped distortion.
@react-bits/LiquidChrome-JS-CSS	component	Liquid metallic chrome shader with flowing reflective surface.
@react-bits/LiquidChrome-JS-TW	component	Liquid metallic chrome shader with flowing reflective surface.
@react-bits/LiquidChrome-TS-CSS	component	Liquid metallic chrome shader with flowing reflective surface.
@react-bits/LiquidChrome-TS-TW	component	Liquid metallic chrome shader with flowing reflective surface.
@react-bits/LiquidEther-JS-CSS	component	Interactive liquid shader with flowing distortion and customizable colors.
@react-bits/LiquidEther-JS-TW	component	Interactive liquid shader with flowing distortion and customizable colors.
@react-bits/LiquidEther-TS-CSS	component	Interactive liquid shader with flowing distortion and customizable colors.
@react-bits/LiquidEther-TS-TW	component	Interactive liquid shader with flowing distortion and customizable colors.
@react-bits/LogoLoop-JS-CSS	component	Continuously looping marquee of brand or tech logos with seamless repeat and hover pause.
@react-bits/LogoLoop-JS-TW	component	Continuously looping marquee of brand or tech logos with seamless repeat and hover pause.
@react-bits/LogoLoop-TS-CSS	component	Continuously looping marquee of brand or tech logos with seamless repeat and hover pause.
@react-bits/LogoLoop-TS-TW	component	Continuously looping marquee of brand or tech logos with seamless repeat and hover pause.
@react-bits/MagicBento-JS-CSS	component	Interactive bento grid tiles expand + animate with various options.
@react-bits/MagicBento-JS-TW	component	Interactive bento grid tiles expand + animate with various options.
@react-bits/MagicBento-TS-CSS	component	Interactive bento grid tiles expand + animate with various options.
@react-bits/MagicBento-TS-TW	component	Interactive bento grid tiles expand + animate with various options.
@react-bits/MagicRings-JS-CSS	component	Interactive magic rings effect with customizable parameters.
@react-bits/MagicRings-JS-TW	component	Interactive magic rings effect with customizable parameters.
@react-bits/MagicRings-TS-CSS	component	Interactive magic rings effect with customizable parameters.
@react-bits/MagicRings-TS-TW	component	Interactive magic rings effect with customizable parameters.
@react-bits/Magnet-JS-CSS	component	Elements magnetically ease toward the cursor then settle back with spring physics.
@react-bits/Magnet-JS-TW	component	Elements magnetically ease toward the cursor then settle back with spring physics.
@react-bits/Magnet-TS-CSS	component	Elements magnetically ease toward the cursor then settle back with spring physics.
@react-bits/Magnet-TS-TW	component	Elements magnetically ease toward the cursor then settle back with spring physics.
@react-bits/MagnetLines-JS-CSS	component	Animated field lines bend toward the cursor.
@react-bits/MagnetLines-JS-TW	component	Animated field lines bend toward the cursor.
@react-bits/MagnetLines-TS-CSS	component	Animated field lines bend toward the cursor.
@react-bits/MagnetLines-TS-TW	component	Animated field lines bend toward the cursor.
@react-bits/MaskedHeading-JS-CSS	component	A large headline with a drifting colour mesh or image showing through the glyphs, revealed word by word.
@react-bits/MaskedHeading-JS-TW	component	A large headline with a drifting colour mesh or image showing through the glyphs, revealed word by word.
@react-bits/MaskedHeading-TS-CSS	component	A large headline with a drifting colour mesh or image showing through the glyphs, revealed word by word.
@react-bits/MaskedHeading-TS-TW	component	A large headline with a drifting colour mesh or image showing through the glyphs, revealed word by word.
@react-bits/Masonry-JS-CSS	component	Responsive masonry layout with animated reflow + gaps optimization.
@react-bits/Masonry-JS-TW	component	Responsive masonry layout with animated reflow + gaps optimization.
@react-bits/Masonry-TS-CSS	component	Responsive masonry layout with animated reflow + gaps optimization.
@react-bits/Masonry-TS-TW	component	Responsive masonry layout with animated reflow + gaps optimization.
@react-bits/MetaBalls-JS-CSS	component	Liquid metaball blobs that merge and separate with smooth implicit surface animation.
@react-bits/MetaBalls-JS-TW	component	Liquid metaball blobs that merge and separate with smooth implicit surface animation.
@react-bits/MetaBalls-TS-CSS	component	Liquid metaball blobs that merge and separate with smooth implicit surface animation.
@react-bits/MetaBalls-TS-TW	component	Liquid metaball blobs that merge and separate with smooth implicit surface animation.
@react-bits/MetallicPaint-JS-CSS	component	Liquid metallic paint shader which can be applied to SVG elements.
@react-bits/MetallicPaint-JS-TW	component	Liquid metallic paint shader which can be applied to SVG elements.
@react-bits/MetallicPaint-TS-CSS	component	Liquid metallic paint shader which can be applied to SVG elements.
@react-bits/MetallicPaint-TS-TW	component	Liquid metallic paint shader which can be applied to SVG elements.
@react-bits/ModelViewer-JS-CSS	component	Three.js model viewer with orbit controls and lighting presets.
@react-bits/ModelViewer-JS-TW	component	Three.js model viewer with orbit controls and lighting presets.
@react-bits/ModelViewer-TS-CSS	component	Three.js model viewer with orbit controls and lighting presets.
@react-bits/ModelViewer-TS-TW	component	Three.js model viewer with orbit controls and lighting presets.
@react-bits/MoltenMetal-JS-CSS	component	Swirling caustic plasma filaments with molten, white-hot cores.
@react-bits/MoltenMetal-JS-TW	component	Swirling caustic plasma filaments with molten, white-hot cores.
@react-bits/MoltenMetal-TS-CSS	component	Swirling caustic plasma filaments with molten, white-hot cores.
@react-bits/MoltenMetal-TS-TW	component	Swirling caustic plasma filaments with molten, white-hot cores.
@react-bits/MorphSlider-JS-CSS	component	WebGL slider that melts between images with a displacement transition.
@react-bits/MorphSlider-JS-TW	component	WebGL slider that melts between images with a displacement transition.
@react-bits/MorphSlider-TS-CSS	component	WebGL slider that melts between images with a displacement transition.
@react-bits/MorphSlider-TS-TW	component	WebGL slider that melts between images with a displacement transition.
@react-bits/Noise-JS-CSS	component	Animated film grain / noise overlay adding subtle texture and motion.
@react-bits/Noise-JS-TW	component	Animated film grain / noise overlay adding subtle texture and motion.
@react-bits/Noise-TS-CSS	component	Animated film grain / noise overlay adding subtle texture and motion.
@react-bits/Noise-TS-TW	component	Animated film grain / noise overlay adding subtle texture and motion.
@react-bits/OptionWheel-JS-CSS	component	Curved option picker that spins via scroll, drag, or arrow keys, fading and tilting items away from the selection.
@react-bits/OptionWheel-JS-TW	component	Curved option picker that spins via scroll, drag, or arrow keys, fading and tilting items away from the selection.
@react-bits/OptionWheel-TS-CSS	component	Curved option picker that spins via scroll, drag, or arrow keys, fading and tilting items away from the selection.
@react-bits/OptionWheel-TS-TW	component	Curved option picker that spins via scroll, drag, or arrow keys, fading and tilting items away from the selection.
@react-bits/Orb-JS-CSS	component	Floating energy orb with customizable hover effect.
@react-bits/Orb-JS-TW	component	Floating energy orb with customizable hover effect.
@react-bits/Orb-TS-CSS	component	Floating energy orb with customizable hover effect.
@react-bits/Orb-TS-TW	component	Floating energy orb with customizable hover effect.
@react-bits/OrbitImages-JS-CSS	component	SVG Path customizable orbiting images effect
@react-bits/OrbitImages-JS-TW	component	SVG Path customizable orbiting images effect
@react-bits/OrbitImages-TS-CSS	component	SVG Path customizable orbiting images effect
@react-bits/OrbitImages-TS-TW	component	SVG Path customizable orbiting images effect
@react-bits/Particles-JS-CSS	component	Configurable particle system.
@react-bits/Particles-JS-TW	component	Configurable particle system.
@react-bits/Particles-TS-CSS	component	Configurable particle system.
@react-bits/Particles-TS-TW	component	Configurable particle system.
@react-bits/ParticleText-JS-CSS	component	Text assembles from drifting particles that scatter and reform on demand.
@react-bits/ParticleText-JS-TW	component	Text assembles from drifting particles that scatter and reform on demand.
@react-bits/ParticleText-TS-CSS	component	Text assembles from drifting particles that scatter and reform on demand.
@react-bits/ParticleText-TS-TW	component	Text assembles from drifting particles that scatter and reform on demand.
@react-bits/PillNav-JS-CSS	component	Minimal pill nav with sliding active highlight + smooth easing.
@react-bits/PillNav-JS-TW	component	Minimal pill nav with sliding active highlight + smooth easing.
@react-bits/PillNav-TS-CSS	component	Minimal pill nav with sliding active highlight + smooth easing.
@react-bits/PillNav-TS-TW	component	Minimal pill nav with sliding active highlight + smooth easing.
@react-bits/PixelBlast-JS-CSS	component	Exploding pixel particle bursts with optional liquid postprocessing.
@react-bits/PixelBlast-JS-TW	component	Exploding pixel particle bursts with optional liquid postprocessing.
@react-bits/PixelBlast-TS-CSS	component	Exploding pixel particle bursts with optional liquid postprocessing.
@react-bits/PixelBlast-TS-TW	component	Exploding pixel particle bursts with optional liquid postprocessing.
@react-bits/PixelCard-JS-CSS	component	Card content revealed through pixel expansion transition.
@react-bits/PixelCard-JS-TW	component	Card content revealed through pixel expansion transition.
@react-bits/PixelCard-TS-CSS	component	Card content revealed through pixel expansion transition.
@react-bits/PixelCard-TS-TW	component	Card content revealed through pixel expansion transition.
@react-bits/PixelSnow-JS-CSS	component	Falling pixelated snow effect with customizable density and speed.
@react-bits/PixelSnow-JS-TW	component	Falling pixelated snow effect with customizable density and speed.
@react-bits/PixelSnow-TS-CSS	component	Falling pixelated snow effect with customizable density and speed.
@react-bits/PixelSnow-TS-TW	component	Falling pixelated snow effect with customizable density and speed.
@react-bits/PixelSwap-JS-CSS	component	Pixel fragments assemble into a full cover, swap arbitrary content, then dissolve away with reversible colors and triggers.
@react-bits/PixelSwap-JS-TW	component	Pixel fragments assemble into a full cover, swap arbitrary content, then dissolve away with reversible colors and triggers.
@react-bits/PixelSwap-TS-CSS	component	Pixel fragments assemble into a full cover, swap arbitrary content, then dissolve away with reversible colors and triggers.
@react-bits/PixelSwap-TS-TW	component	Pixel fragments assemble into a full cover, swap arbitrary content, then dissolve away with reversible colors and triggers.
@react-bits/PixelTrail-JS-CSS	component	Pixelated cursor trail emitting fading squares with retro digital feel.
@react-bits/PixelTrail-JS-TW	component	Pixelated cursor trail emitting fading squares with retro digital feel.
@react-bits/PixelTrail-TS-CSS	component	Pixelated cursor trail emitting fading squares with retro digital feel.
@react-bits/PixelTrail-TS-TW	component	Pixelated cursor trail emitting fading squares with retro digital feel.
@react-bits/PixelTransition-JS-CSS	component	Pixel dissolve transition for content reveal on hover.
@react-bits/PixelTransition-JS-TW	component	Pixel dissolve transition for content reveal on hover.
@react-bits/PixelTransition-TS-CSS	component	Pixel dissolve transition for content reveal on hover.
@react-bits/PixelTransition-TS-TW	component	Pixel dissolve transition for content reveal on hover.
@react-bits/Plasma-JS-CSS	component	Organic plasma gradients swirl + morph with smooth turbulence.
@react-bits/Plasma-JS-TW	component	Organic plasma gradients swirl + morph with smooth turbulence.
@react-bits/Plasma-TS-CSS	component	Organic plasma gradients swirl + morph with smooth turbulence.
@react-bits/Plasma-TS-TW	component	Organic plasma gradients swirl + morph with smooth turbulence.
@react-bits/PlasmaWave-JS-CSS	component	Raymarched plasma waves with dual-wave interference and OGL.
@react-bits/PlasmaWave-JS-TW	component	Raymarched plasma waves with dual-wave interference and OGL.
@react-bits/PlasmaWave-TS-CSS	component	Raymarched plasma waves with dual-wave interference and OGL.
@react-bits/PlasmaWave-TS-TW	component	Raymarched plasma waves with dual-wave interference and OGL.
@react-bits/Prism-JS-CSS	component	Rotating prism with configurable intensity, size, and colors.
@react-bits/Prism-JS-TW	component	Rotating prism with configurable intensity, size, and colors.
@react-bits/Prism-TS-CSS	component	Rotating prism with configurable intensity, size, and colors.
@react-bits/Prism-TS-TW	component	Rotating prism with configurable intensity, size, and colors.
@react-bits/PrismaticBurst-JS-CSS	component	Burst of light rays with controllable color, distortion, amount.
@react-bits/PrismaticBurst-JS-TW	component	Burst of light rays with controllable color, distortion, amount.
@react-bits/PrismaticBurst-TS-CSS	component	Burst of light rays with controllable color, distortion, amount.
@react-bits/PrismaticBurst-TS-TW	component	Burst of light rays with controllable color, distortion, amount.
@react-bits/ProfileCard-JS-CSS	component	Animated profile card glare with 3D hover effect.
@react-bits/ProfileCard-JS-TW	component	Animated profile card glare with 3D hover effect.
@react-bits/ProfileCard-TS-CSS	component	Animated profile card glare with 3D hover effect.
@react-bits/ProfileCard-TS-TW	component	Animated profile card glare with 3D hover effect.
@react-bits/Radar-JS-CSS	component	Radar sweep effect with concentric rings, radial spokes, and a rotating beam.
@react-bits/Radar-JS-TW	component	Radar sweep effect with concentric rings, radial spokes, and a rotating beam.
@react-bits/Radar-TS-CSS	component	Radar sweep effect with concentric rings, radial spokes, and a rotating beam.
@react-bits/Radar-TS-TW	component	Radar sweep effect with concentric rings, radial spokes, and a rotating beam.
@react-bits/ReflectiveCard-JS-CSS	component	Card with dynamic webcam reflection and glare effects that respond to cursor movement.
@react-bits/ReflectiveCard-JS-TW	component	Card with dynamic webcam reflection and glare effects that respond to cursor movement.
@react-bits/ReflectiveCard-TS-CSS	component	Card with dynamic webcam reflection and glare effects that respond to cursor movement.
@react-bits/ReflectiveCard-TS-TW	component	Card with dynamic webcam reflection and glare effects that respond to cursor movement.
@react-bits/Ribbons-JS-CSS	component	Flowing responsive ribbons/cursor trail driven by physics and pointer motion.
@react-bits/Ribbons-JS-TW	component	Flowing responsive ribbons/cursor trail driven by physics and pointer motion.
@react-bits/Ribbons-TS-CSS	component	Flowing responsive ribbons/cursor trail driven by physics and pointer motion.
@react-bits/Ribbons-TS-TW	component	Flowing responsive ribbons/cursor trail driven by physics and pointer motion.
@react-bits/RippleDistortion-JS-CSS	component	Pointer-driven water displacement that warps content and leaves a decaying wake.
@react-bits/RippleDistortion-JS-TW	component	Pointer-driven water displacement that warps content and leaves a decaying wake.
@react-bits/RippleDistortion-TS-CSS	component	Pointer-driven water displacement that warps content and leaves a decaying wake.
@react-bits/RippleDistortion-TS-TW	component	Pointer-driven water displacement that warps content and leaves a decaying wake.
@react-bits/RippleGrid-JS-CSS	component	A grid that continuously animates with a ripple effect.
@react-bits/RippleGrid-JS-TW	component	A grid that continuously animates with a ripple effect.
@react-bits/RippleGrid-TS-CSS	component	A grid that continuously animates with a ripple effect.
@react-bits/RippleGrid-TS-TW	component	A grid that continuously animates with a ripple effect.
@react-bits/RotatingText-JS-CSS	component	Cycles through multiple phrases with 3D rotate / flip transitions.
@react-bits/RotatingText-JS-TW	component	Cycles through multiple phrases with 3D rotate / flip transitions.
@react-bits/RotatingText-TS-CSS	component	Cycles through multiple phrases with 3D rotate / flip transitions.
@react-bits/RotatingText-TS-TW	component	Cycles through multiple phrases with 3D rotate / flip transitions.
@react-bits/Scanner-JS-CSS	component	Calm interference bands sweeping across the screen like an oscilloscope.
@react-bits/Scanner-JS-TW	component	Calm interference bands sweeping across the screen like an oscilloscope.
@react-bits/Scanner-TS-CSS	component	Calm interference bands sweeping across the screen like an oscilloscope.
@react-bits/Scanner-TS-TW	component	Calm interference bands sweeping across the screen like an oscilloscope.
@react-bits/ScrambledText-JS-CSS	component	Detects cursor position and applies a distortion effect to text.
@react-bits/ScrambledText-JS-TW	component	Detects cursor position and applies a distortion effect to text.
@react-bits/ScrambledText-TS-CSS	component	Detects cursor position and applies a distortion effect to text.
@react-bits/ScrambledText-TS-TW	component	Detects cursor position and applies a distortion effect to text.
@react-bits/ScrollExpand-JS-CSS	component	A rounded media frame that grows to full bleed as it scrolls through the viewport.
@react-bits/ScrollExpand-JS-TW	component	A rounded media frame that grows to full bleed as it scrolls through the viewport.
@react-bits/ScrollExpand-TS-CSS	component	A rounded media frame that grows to full bleed as it scrolls through the viewport.
@react-bits/ScrollExpand-TS-TW	component	A rounded media frame that grows to full bleed as it scrolls through the viewport.
@react-bits/ScrollFloat-JS-CSS	component	Text gently floats / parallax shifts on scroll.
@react-bits/ScrollFloat-JS-TW	component	Text gently floats / parallax shifts on scroll.
@react-bits/ScrollFloat-TS-CSS	component	Text gently floats / parallax shifts on scroll.
@react-bits/ScrollFloat-TS-TW	component	Text gently floats / parallax shifts on scroll.
@react-bits/ScrollReveal-JS-CSS	component	Text gently unblurs and reveals on scroll.
@react-bits/ScrollReveal-JS-TW	component	Text gently unblurs and reveals on scroll.
@react-bits/ScrollReveal-TS-CSS	component	Text gently unblurs and reveals on scroll.
@react-bits/ScrollReveal-TS-TW	component	Text gently unblurs and reveals on scroll.
@react-bits/ScrollStack-JS-CSS	component	Overlapping card stack reveals on scroll with depth layering.
@react-bits/ScrollStack-JS-TW	component	Overlapping card stack reveals on scroll with depth layering.
@react-bits/ScrollStack-TS-CSS	component	Overlapping card stack reveals on scroll with depth layering.
@react-bits/ScrollStack-TS-TW	component	Overlapping card stack reveals on scroll with depth layering.
@react-bits/ScrollVelocity-JS-CSS	component	Text marquee animatio - speed and distortion scale with user's scroll velocity.
@react-bits/ScrollVelocity-JS-TW	component	Text marquee animatio - speed and distortion scale with user's scroll velocity.
@react-bits/ScrollVelocity-TS-CSS	component	Text marquee animatio - speed and distortion scale with user's scroll velocity.
@react-bits/ScrollVelocity-TS-TW	component	Text marquee animatio - speed and distortion scale with user's scroll velocity.
